name;WKT;Country
Paola;POINT(14.5075 35.8728);Malta
Ħal Luqa;POINT(14.4892 35.8597);Malta
Il-Kunsill Lokali ta' San Ġiljan;POINT(14.49 35.9186);Malta
Citta' Invicta;POINT(14.5169 35.8878);Malta
L-Imġarr;POINT(14.3664 35.9197);Malta
Città Beland;POINT(14.5333 35.8556);Malta
Mġarr;POINT(14.3664 35.9197);Malta
Il-Blata l-Bajda;POINT(14.4986 35.8875);Malta
Naxxar;POINT(14.4447 35.915);Malta
Senglea, L-Isla;POINT(14.5169 35.8878);Malta
Baħrija;POINT(14.3483 35.8947);Malta
Il-Marsa;POINT(14.4947 35.8833);Malta
Gzira;POINT(14.4944 35.905);Malta
Il-Kunsill Lokali tal-Għarb;POINT(14.2092 36.0611);Malta
Ħaż-Żebbuġ;POINT(14.4419 35.8731);Malta
Għawdex;POINT(14.25 36.05);Malta
Xewkija;POINT(14.2583 36.0331);Malta
Città Victoria;POINT(14.2431 36.0436);Malta
Il-Kunsill Lokali tan-Nadur;POINT(14.295 36.0381);Malta
Il-Qala;POINT(14.3103 36.0353);Malta
Lija;POINT(14.4472 35.9014);Malta
Ix-Xgħajra;POINT(14.5472 35.8864);Malta
Mqabba;POINT(14.4669 35.8442);Malta
Il-Kunsill Lokali ta' Ħ'Attard;POINT(14.4383 35.8928);Malta
Birżebbuġa;POINT(14.5281 35.8256);Malta
L-Imtarfa;POINT(14.3969 35.8908);Malta
Il-Kunsill Lokali tal-Imġarr;POINT(14.3664 35.9197);Malta
Ħal Għaxaq;POINT(14.5172 35.8483);Malta
Il-Kunsill Lokali tal-Iklin;POINT(14.4544 35.9042);Malta
Il-Kunsill Lokali taż-Żejtun;POINT(14.5333 35.8556);Malta
San Lawrenz;POINT(14.2042 36.055);Malta
Saint Lawrence;POINT(14.2042 36.055);Malta
Il-Ħamrun;POINT(14.4894 35.8861);Malta
Sta. Venera;POINT(14.4778 35.8897);Malta
Marsaskala;POINT(14.5675 35.8625);Malta
(Kunsill Lokali ta' Ħad-Dingli - Dingli Local Council);POINT(14.3814 35.8603);Malta
Città Ferdinand;POINT(14.4383 35.8542);Malta
Il-Kunsill Lokali tal-Qrendi;POINT(14.4589 35.8342);Malta
Iż-Żurrieq;POINT(14.4758 35.8292);Malta
Santa Luċija;POINT(14.5044 35.8625);Malta
Il-Kunsill Lokali ta' Santa Venera;POINT(14.4778 35.8897);Malta
Ta' Kerċem;POINT(14.2297 36.0406);Malta
Il-Kunsill Lokali ta' Ħal Għaxaq;POINT(14.5172 35.8483);Malta
Ħad-Dingli;POINT(14.3814 35.8603);Malta
Il-Munxar;POINT(14.2353 36.0303);Malta
Xgħajra;POINT(14.5472 35.8864);Malta
Il-Fontana;POINT(14.2422 36.0364);Malta
St Julian's;POINT(14.49 35.9186);Malta
Il-Kunsill Lokali ta' Ħaż-Żebbuġ;POINT(14.4419 35.8731);Malta
Xlendi;POINT(14.2189 36.0297);Malta
Il-Kunsill Lokali tal-Munxar;POINT(14.2353 36.0303);Malta
Fgura;POINT(14.5228 35.8725);Malta
Città Rohan;POINT(14.4419 35.8731);Malta
Il-Kunsill Lokali tal-Isla;POINT(14.5169 35.8878);Malta
Città Pinto;POINT(14.4722 35.8794);Malta
Il-Kunsill Lokali ta' Ħaż-Żabbar;POINT(14.5381 35.8772);Malta
Marsaxlokk (馬爾薩什洛克港);POINT(14.5447 35.8417);Malta
Il-Kunsill Lokali ta' San Lawrenz;POINT(14.2042 36.055);Malta
Il-Kunsill Lokali tax-Xewkija;POINT(14.2583 36.0331);Malta
Ta' Sannat;POINT(14.2458 36.0244);Malta
Il-Kunsill Lokali t'Għajnsielem;POINT(14.2903 36.0269);Malta
Il-Kunsill Lokali tal-Imdina;POINT(14.4031 35.8858);Malta
Tas-Sliema;POINT(14.5042 35.9122);Malta
Il-Kunsill Lokali tal-Fontana;POINT(14.2422 36.0364);Malta
Il-Kunsill Lokali ta' San Pawl il-Baħar;POINT(14.4017 35.9483);Malta
Żurrieq;POINT(14.4758 35.8292);Malta
Il-Kunsill Lokali Ta' Sannat;POINT(14.2458 36.0244);Malta
Il-Kunsill Lokali tal-Marsa;POINT(14.4947 35.8833);Malta
Ħal Kirkop;POINT(14.485 35.8419);Malta
Il-Mellieħa;POINT(14.3664 35.9564);Malta
Ir-Raħal tal-Bidnija;POINT(14.3983 35.9269);Malta
Paola; Raħal Ġdid;POINT(14.5075 35.8728);Malta
Ix-Xewkija;POINT(14.2583 36.0331);Malta
Il-Kunsill Lokali tal-Qala;POINT(14.3103 36.0353);Malta
Il-Mosta;POINT(14.4261 35.9097);Malta
Qala;POINT(14.3103 36.0353);Malta
In-Nadur;POINT(14.295 36.0381);Malta
Il-Kunsill Lokali tal-Mellieħa;POINT(14.3664 35.9564);Malta
Mellieħa;POINT(14.3664 35.9564);Malta
Kalkara;POINT(14.5294 35.8892);Malta
Iż-Żebbuġ;POINT(14.2369 36.0708);Malta
Il-Kunsill Lokali taż-Żebbuġ Għawdex;POINT(14.2369 36.0708);Malta
Qrendi;POINT(14.4589 35.8342);Malta
Il-Gżira;POINT(14.4944 35.905);Malta
Ir-Rabat, Malta;POINT(14.3989 35.8817);Malta
Tal-Pietà;POINT(14.4936 35.8931);Malta
Ħamrun;POINT(14.4894 35.8861);Malta
Santa Venera;POINT(14.4778 35.8897);Malta
Il-Kunsill Lokali tal-Ħamrun;POINT(14.4894 35.8861);Malta
Il-Kunsill Lokali taż-Żurrieq;POINT(14.4758 35.8292);Malta
Il-Kunsill Lokali ta' Ħal Tarxien;POINT(14.5119 35.8658);Malta
Il-Kunsill Lokali ta' Ħal Qormi;POINT(14.4722 35.8794);Malta
Ħal Għargħur;POINT(14.4534 35.9241);Malta
St. Paul's Bay;POINT(14.4017 35.9483);Malta
San Ġiljan;POINT(14.49 35.9186);Malta
Il-Kunsill Lokali ta' Bormla;POINT(14.5222 35.8822);Malta
Marsa;POINT(14.4947 35.8833);Malta
Is-Siġġiewi;POINT(14.4383 35.8542);Malta
Xagħra;POINT(14.2675 36.0503);Malta
Buġibba;POINT(14.4117 35.9492);Malta
Il-Kunsill Lokali Ta' Kerċem;POINT(14.2297 36.0406);Malta
Il-Kunsill Lokali tal-Għasri;POINT(14.2278 36.0583);Malta
Il-Kunsill Lokali tal-Birgu;POINT(14.5225 35.8881);Malta
Città Notabile;POINT(14.4031 35.8858);Malta
Żebbuġ Gozo;POINT(14.2369 36.0708);Malta
Baħar iċ-Ċagħaq;POINT(14.4447 35.915);Malta
St Philip's Hospital;POINT(14.4822 35.8931);Malta
other_name              = Borgo Vilhena, Il-Furjana;POINT(14.5058 35.8933);Malta
L-Imqabba;POINT(14.4669 35.8442);Malta
Ħal-Tarxien;POINT(14.5119 35.8658);Malta
Ħal-Balzan;POINT(14.4533 35.8981);Malta
Il-Kunsill Lokali ta' Birżebbuġa;POINT(14.5281 35.8256);Malta
Fontana;POINT(14.2422 36.0364);Malta
Il-Kunsill Lokali ta' Paola;POINT(14.5075 35.8728);Malta
Senglea;POINT(14.5169 35.8878);Malta
Qawra;POINT(14.42 35.9542);Malta
Ħal Qormi;POINT(14.4722 35.8794);Malta
Munxar;POINT(14.2353 36.0303);Malta
Wied il-Għajn;POINT(14.5675 35.8625);Malta
Il-Kunsill Lokali Tal-Pietà;POINT(14.4936 35.8931);Malta
Għasri;POINT(14.2278 36.0583);Malta
Città Hompesch;POINT(14.5381 35.8772);Malta
Mosta;POINT(14.4261 35.9097);Malta
Il-Kunsill Lokali tar-Rabat;POINT(14.3989 35.8817);Malta
Il-Qawra;POINT(14.42 35.9542);Malta
Msida;POINT(14.4894 35.8978);Malta
Ix-Xagħra;POINT(14.2675 36.0503);Malta
Gozo;POINT(14.25 36.05);Malta
Floriana;POINT(14.5058 35.8933);Malta
Il-Kunsill Lokali ta' Santa Luċija;POINT(14.5044 35.8625);Malta
Il-Gudja;POINT(14.5025 35.8483);Malta
Il-Kunsill Lokali ta' Marsaxlokk;POINT(14.5447 35.8417);Malta
Il-Kunsill Lokali ta' Marsaskala;POINT(14.5675 35.8625);Malta
Mdina;POINT(14.4031 35.8858);Malta
Xemxija;POINT(14.3858 35.9506);Malta
Is-Swieqi;POINT(14.48 35.9208);Malta
Il-Birgu;POINT(14.5225 35.8881);Malta
Il-Fgura;POINT(14.5228 35.8725);Malta
Bormla;POINT(14.5222 35.8822);Malta
Siggiewi;POINT(14.4383 35.8542);Malta
San Ġwann;POINT(14.4786 35.9094);Malta
Bormla Ċittà Cospicua;POINT(14.5222 35.8822);Malta
Għaxaq;POINT(14.5172 35.8483);Malta
L-Għasri;POINT(14.2278 36.0583);Malta
Zejtun;POINT(14.5333 35.8556);Malta
Kunsill Lokali Fgura;POINT(14.5228 35.8725);Malta
Victoria;POINT(14.2431 36.0436);Malta
Filfla;POINT(14.4103 35.7875);Malta
Qormi;POINT(14.4722 35.8794);Malta
Il-Kunsill Lokali ta' Tas-Sliema;POINT(14.5042 35.9122);Malta
M'Xlokk;POINT(14.5447 35.8417);Malta
Ħal Safi;POINT(14.485 35.8333);Malta
Comino (Kemmuna);POINT(14.3333 36.0167);Malta
Il-Kunsill Lokali tal-Mosta;POINT(14.4261 35.9097);Malta
Il-Kunsill Lokali ta' Ħal Balzan;POINT(14.4533 35.8981);Malta
St Paul's Pro-Cathedral;POINT(14.5115 35.9003);Malta
Schellenberg;POINT(9.53333 47.2333);Liechtenstein
Eastern Alps;POINT(12.2322 46.5753);Liechtenstein
Rhein;POINT(9.31667 47.65);Liechtenstein
Planken;POINT(9.53333 47.1833);Liechtenstein
Mauren;POINT(9.53333 47.2167);Liechtenstein
Rätikon;POINT(9.75 47.05);Liechtenstein
Triesenberg;POINT(9.53333 47.1167);Liechtenstein
Rhine;POINT(9.31667 47.65);Liechtenstein
Eschen;POINT(9.51667 47.2167);Liechtenstein
Vaduz;POINT(9.521 47.141);Liechtenstein
Gampriner Seele;POINT(9.50917 47.225);Liechtenstein
Balzers;POINT(9.48118 47.0667);Liechtenstein
Triesen;POINT(9.53333 47.1);Liechtenstein
Schaan;POINT(9.5 47.1667);Liechtenstein
Samina;POINT(9.63333 47.2333);Liechtenstein
Gamprin;POINT(9.5 47.2167);Liechtenstein
Ruggell;POINT(9.53 47.2433);Liechtenstein
Comune di Vitorchiano;POINT(12.1667 42.45);Italy
Castelsaraceno;POINT(15.9833 40.1667);Italy
Crescenzago;POINT(9.2475 45.5094);Italy
Misano Adriatico;POINT(12.7 43.9667);Italy
Comune di Temù;POINT(10.4689 46.2494);Italy
Comune di Sporminore;POINT(11.0333 46.2333);Italy
Comune di Bargagli;POINT(9.1 44.45);Italy
Comune di Cesinali;POINT(14.8286 40.8981);Italy
Comune di Albagiara (Sardegna);POINT(8.86667 39.7833);Italy
Comune di Origgio;POINT(9.01667 45.6);Italy
Comune di Scala;POINT(14.6 40.65);Italy
Comune di Paludi;POINT(16.6806 39.5306);Italy
Valdobbiadene;POINT(11.9167 45.9);Italy
Mansuè;POINT(12.5333 45.8167);Italy
Castelletto Monferrato;POINT(8.56667 44.9833);Italy
Comune di Montopoli in Val d'Arno;POINT(10.75 43.6667);Italy
Grimacco;POINT(13.5667 46.15);Italy
Brera;POINT(9.185 45.4714);Italy
Àrcamu;POINT(12.9667 37.9667);Italy
Comune di Torre de' Passeri;POINT(13.9333 42.2333);Italy
Cardano al Campo;POINT(8.73333 45.6667);Italy
Legnaro;POINT(11.9667 45.35);Italy
Palestrina;POINT(12.9 41.8333);Italy
Comune di Cutrofiano;POINT(18.2 40.1167);Italy
Campofelice di Fitalia;POINT(13.4833 37.8333);Italy
Sumirago;POINT(8.78333 45.7333);Italy
Roccavignale;POINT(8.18333 44.3667);Italy
Comune di Forte dei Marmi;POINT(10.1833 43.95);Italy
Dovera;POINT(9.53333 45.3667);Italy
Comune di Plataci;POINT(16.4333 39.9);Italy
Spinea;POINT(12.15 45.5);Italy
Comune di Monteforte Irpino;POINT(14.7194 40.8928);Italy
Comune di Ternengo;POINT(8.1 45.55);Italy
Comune di Cavasso Nuovo;POINT(12.7667 46.2);Italy
Ottaviano;POINT(14.4833 40.85);Italy
Moconesi;POINT(9.2 44.4167);Italy
Tromello;POINT(8.86667 45.2167);Italy
Comune di Magnago;POINT(8.8 45.5833);Italy
Comune di Monastero Bormida;POINT(8.33333 44.65);Italy
Comune di Fossò;POINT(12.05 45.3833);Italy
Comune di Montemonaco;POINT(13.3333 42.9);Italy
Comune di Fiume Veneto;POINT(12.7333 45.9333);Italy
Comune di Montottone;POINT(13.5833 43.0667);Italy
Comune di Castelbianco;POINT(8.06667 44.1167);Italy
Comune di San Piero a Sieve;POINT(11.3167 43.9667);Italy
Thiesi;POINT(8.71667 40.5167);Italy
Comune di Pollena Trocchia;POINT(14.3833 40.85);Italy
Comune di Barberino di Mugello;POINT(11.2333 44.0);Italy
Comune di Botricello;POINT(16.85 38.9333);Italy
Città di Orvieto;POINT(12.1 42.7167);Italy
Comune di Camandona;POINT(8.13333 45.6333);Italy
Castelnuovo Bormida;POINT(8.55 44.7333);Italy
Comune di Fortunago;POINT(9.18333 44.9167);Italy
Scigliano;POINT(16.3 39.1333);Italy
Città di Reggio Calabria;POINT(15.6619 38.1114);Italy
Due Carrare;POINT(11.8333 45.2833);Italy
Agosta;POINT(13.0333 41.9833);Italy
Comune di Quadrelle;POINT(14.6333 40.95);Italy
Garlenda;POINT(8.1 44.0333);Italy
Sangineto;POINT(15.9142 39.6042);Italy
Comune di Casaleggio Novara;POINT(8.5 45.4833);Italy
Varedo;POINT(9.16667 45.6);Italy
Comune di Bagnara di Romagna;POINT(11.8333 44.3833);Italy
Perdasdefogu;POINT(9.43333 39.6833);Italy
Magliano de' Marsi;POINT(13.3647 42.0925);Italy
Comune di San Cipriano Picentino;POINT(14.8667 40.7167);Italy
Lago della Stua / Stubensee back and forward lakes;POINT(11.285 46.9747);Italy
San Paolo Bel Sito;POINT(14.55 40.9167);Italy
Comune di Uboldo;POINT(9.0 45.6167);Italy
Comune di Portogruaro;POINT(12.8333 45.7833);Italy
Trissino;POINT(11.3667 45.5667);Italy
Comune di Piombino Dese;POINT(11.9333 45.6);Italy
Comune di Arosio;POINT(9.21667 45.7167);Italy
Comune di La Loggia;POINT(7.66667 44.9667);Italy
Comune di Torre Canavese;POINT(7.76667 45.3833);Italy
Comune di Gambarana;POINT(8.76667 45.0333);Italy
Comune di Mangone;POINT(16.3333 39.2);Italy
Comune di Lonate Ceppino;POINT(8.86667 45.7);Italy
Comune di Bertinoro;POINT(12.1333 44.15);Italy
Domicella;POINT(14.5886 40.8811);Italy
Comune di Montefortino;POINT(13.35 42.95);Italy
Comune di Velo Veronese;POINT(11.1 45.6);Italy
Lago di Acerenza;POINT(15.9194 40.7731);Italy
Comune di Sedriano;POINT(8.96667 45.4833);Italy
Crotone;POINT(17.1167 39.0833);Italy
Comune di Piovà Massaia;POINT(8.05 45.05);Italy
San Teodoro;POINT(9.66667 37.85);Italy
Cinquefrondi;POINT(16.1 38.4167);Italy
Acri;POINT(16.3833 39.5);Italy
Comune di Vallata;POINT(15.25 41.0333);Italy
Comune di Cortenova;POINT(9.38333 46.0);Italy
Comune di Cassano Spinola;POINT(8.85 44.75);Italy
Cervarese Santa Croce;POINT(11.6833 45.4167);Italy
Comune di Gambassi Terme;POINT(10.95 43.5333);Italy
Lucoli;POINT(13.3389 42.2919);Italy
Comune di Mori;POINT(10.9833 45.85);Italy
San Cipriano Picentino;POINT(14.8667 40.7167);Italy
Comune di San Michele Salentino;POINT(17.6333 40.6333);Italy
San Marzano Oliveto;POINT(8.3 44.75);Italy
Spina Nuova;POINT(12.8433 42.8575);Italy
Pognano;POINT(9.63333 45.5833);Italy
Comune di Cetraro;POINT(15.95 39.5);Italy
Comune di Recoaro Terme;POINT(11.2333 45.7);Italy
Comune di Visone;POINT(8.5 44.6667);Italy
Comune di Dongo;POINT(9.28333 46.1333);Italy
Fontanelle;POINT(12.4667 42.8275);Italy
Opi;POINT(13.83 41.7778);Italy
Comune di Ceraso;POINT(15.25 40.2);Italy
Comune di Manduria;POINT(17.6333 40.4);Italy
Comune di Berzo Inferiore;POINT(10.2806 45.9317);Italy
Comune di Cantiano;POINT(12.6333 43.4667);Italy
Capena;POINT(12.5403 42.1403);Italy
Comune di Santadi;POINT(8.71667 39.1);Italy
Campli;POINT(13.6861 42.7261);Italy
Comune di Piario;POINT(9.91667 45.9);Italy
Comune di Brittoli;POINT(13.8667 42.3167);Italy
Comune di Casapinta;POINT(8.21667 45.5833);Italy
Comune di San Pietro Apostolo;POINT(16.4678 39.0042);Italy
Comune di Miradolo Terme;POINT(9.48333 45.15);Italy
Comune di Civate;POINT(9.35 45.8333);Italy
Comune di Griante;POINT(9.23333 46.0);Italy
Ollastra;POINT(8.73333 39.95);Italy
Ingria;POINT(7.56667 45.4667);Italy
Comune di Varano Borghi;POINT(8.7 45.7667);Italy
Comune di Gualtieri;POINT(10.6333 44.9);Italy
Comune di Cameri;POINT(8.65 45.5);Italy
Premia;POINT(8.33333 46.2667);Italy
Tignale;POINT(10.7167 45.7333);Italy
Comune di Brembate;POINT(9.55 45.6);Italy
Albano di Lucania;POINT(16.0333 40.5833);Italy
Comune di Sant'Ippolito;POINT(12.8667 43.6833);Italy
Caprie;POINT(7.31667 45.1167);Italy
Casaleggio Boiro;POINT(8.71667 44.6167);Italy
Comune di Collobiano;POINT(8.35 45.4);Italy
Comune di Montebello Vicentino;POINT(11.3833 45.45);Italy
Comune di Atri;POINT(13.9833 42.5833);Italy
Comune di Acerenza;POINT(15.95 40.8);Italy
Comune di Salve;POINT(18.3 39.8667);Italy
Comune di Pietracamela;POINT(13.55 42.5333);Italy
Comune di Beregazzo con Figliaro;POINT(8.94361 45.7814);Italy
Comune di Volpiano;POINT(7.78333 45.2);Italy
Serrastretta;POINT(16.4 39.0167);Italy
Lago Santo parmense;POINT(10.0069 44.4019);Italy
Comune di Pompei;POINT(14.5 40.75);Italy
Comune di San Pietro in Gu;POINT(11.6667 45.6167);Italy
Comune di Maleo;POINT(9.76667 45.1667);Italy
Comune di Bonarcado;POINT(8.65 40.1);Italy
Comune di Figline Vegliaturo;POINT(16.3333 39.2333);Italy
Comune di Seneghe;POINT(8.61667 40.0833);Italy
Comune di Castiglione d'Intelvi;POINT(9.08333 45.95);Italy
Comune di Marano Principato;POINT(16.1833 39.3);Italy
Turano Lodigiano;POINT(9.66667 45.3);Italy
Monasterace;POINT(16.55 38.45);Italy
Chiuduno;POINT(9.85 45.65);Italy
Rea;POINT(9.15 45.1167);Italy
Brecciarola;POINT(14.0931 42.3253);Italy
Comune di Rocca Santa Maria;POINT(13.5333 42.6833);Italy
Comune di Serino;POINT(14.875 40.85);Italy
Casto;POINT(10.3167 45.7);Italy
Comune di San Giovanni Bianco;POINT(9.65 45.8667);Italy
Comune di Fondachelli-Fantina;POINT(15.1667 37.9833);Italy
Sassello;POINT(8.48333 44.4833);Italy
Comune di Vigone;POINT(7.5 44.85);Italy
Comune di Montechiarugolo;POINT(10.4167 44.7);Italy
Comune di Piozzano;POINT(9.5 44.9333);Italy
Comune di Turate;POINT(9.48333 45.1833);Italy
Comune di Roscigno;POINT(15.35 40.4);Italy
Comune di Salcedo;POINT(11.5667 45.7667);Italy
Comune di Mairago;POINT(9.58333 45.3);Italy
Repentabor;POINT(13.7833 45.7167);Italy
Comune di Rovereto;POINT(11.05 45.8833);Italy
Mornese;POINT(8.75 44.6333);Italy
Grotte;POINT(13.7011 37.4058);Italy
Comune di Bagnacavallo;POINT(11.9833 44.4167);Italy
Nuoro;POINT(9.33333 40.3167);Italy
Campagna;POINT(15.1 40.6667);Italy
Gioi;POINT(15.2167 40.2833);Italy
Comune di Apricena;POINT(15.4333 41.7667);Italy
Comune di Eupilio;POINT(9.26667 45.8167);Italy
Comune di Courmayeur;POINT(6.96667 45.7833);Italy
Morsasco;POINT(8.55 44.6667);Italy
Comune di Selva dei Molini;POINT(11.8667 46.8833);Italy
San Martino Dall'argine;POINT(10.5 45.1);Italy
Comune di Merì;POINT(15.25 38.1667);Italy
Comune di Villar Pellice;POINT(7.16667 44.8);Italy
Galliate Lombardo;POINT(8.76667 45.7833);Italy
Comune di Binago;POINT(8.91667 45.7833);Italy
Comune di Sardara;POINT(8.83333 39.6167);Italy
Comune di Fontanafredda;POINT(12.5667 45.9667);Italy
Comune di San Donato di Ninea;POINT(16.05 39.7);Italy
Comune di Pomaro Monferrato;POINT(8.59722 45.0633);Italy
Baranzate;POINT(9.1 45.5167);Italy
Comune di Cavallasca;POINT(9.03333 45.8167);Italy
Comune di Bisuschio;POINT(8.86667 45.8667);Italy
Comune di Azzate;POINT(8.8 45.7833);Italy
Brusciano;POINT(14.4167 40.9167);Italy
Comune di Ledro;POINT(10.7333 45.8833);Italy
Comune di Corvara in Badia;POINT(11.8667 46.55);Italy
Gandellino;POINT(9.95 46.0);Italy
Comune di La Maddalena;POINT(9.4 41.2167);Italy
Averara;POINT(9.63333 45.9833);Italy
Comune di Praiano;POINT(14.5333 40.6167);Italy
Comune di Venaus;POINT(7.01667 45.15);Italy
Comune di Cesana Brianza;POINT(9.3 45.8167);Italy
Camagna Monferrato;POINT(8.43333 45.0167);Italy
Premosello-Chiovenda;POINT(8.33333 46.0);Italy
Comune di Isola Sant'Antonio;POINT(8.85028 45.0306);Italy
Comune di Oriolo;POINT(16.45 40.05);Italy
Comune di Castelletto Merli;POINT(8.23333 45.0667);Italy
Comune di Sossano;POINT(11.5167 45.3667);Italy
Comune di Paciano;POINT(12.0667 43.0167);Italy
Comune di Monte Argentario;POINT(11.1167 42.4333);Italy
Comune di Piobbico;POINT(12.5167 43.5833);Italy
Polverara;POINT(11.9667 45.3167);Italy
Comune di Saonara;POINT(11.9833 45.3667);Italy
Comune di Tramonti;POINT(14.6333 40.7);Italy
Comune di Fuipiano Valle Imagna;POINT(9.53333 45.85);Italy
Parona;POINT(8.75 45.2833);Italy
Città di Castelfranco Veneto;POINT(11.9333 45.6667);Italy
Comune di Colognola ai Colli;POINT(11.2 45.4333);Italy
Comune di Monte Colombo;POINT(12.55 43.9167);Italy
Vittorito;POINT(13.8175 42.1281);Italy
Comune di Vicchio;POINT(11.4667 43.9333);Italy
Piazzale Loreto;POINT(9.21677 45.4862);Italy
Comune di Torre d'Isola;POINT(9.08333 45.2167);Italy
Comune di Appignano;POINT(13.2 43.4);Italy
Solarussa;POINT(8.68333 39.95);Italy
Comune di Castell'Azzara;POINT(11.7 42.7667);Italy
Comune di Moncestino;POINT(8.16667 45.15);Italy
Soncino;POINT(9.86667 45.4);Italy
Comune di Nicosia;POINT(14.4 37.75);Italy
Comune di Branzi;POINT(9.76667 46.0);Italy
Nule;POINT(9.18333 40.4667);Italy
Altivole;POINT(11.95 45.75);Italy
Aci Catena;POINT(15.1333 37.6);Italy
Comune di Ricigliano;POINT(15.4833 40.6667);Italy
Crotta d'Adda;POINT(9.85 45.1667);Italy
Comune di Aradeo;POINT(18.1333 40.1333);Italy
Comune di Montano Lucino;POINT(9.05 45.7833);Italy
Spotorno;POINT(8.41667 44.2267);Italy
Comune di Isola Dovarese;POINT(10.3 45.1667);Italy
Tremosine;POINT(10.7583 45.7722);Italy
Garbagna Novarese;POINT(8.66667 45.4);Italy
Comune di Senorbì;POINT(9.13333 39.5333);Italy
Anoia;POINT(16.0833 38.4333);Italy
Spezzano della Sila;POINT(16.35 39.3);Italy
Comune di Arsiero;POINT(11.35 45.8);Italy
Morengo;POINT(9.7 45.5333);Italy
Comune di Sant'Angelo a Scala;POINT(14.7333 40.9833);Italy
Comune di Monclassico;POINT(10.8833 46.3333);Italy
Città di Castel Goffredo;POINT(10.4833 45.3);Italy
Comune di Bonito;POINT(15.0022 41.0986);Italy
Comune di Envie;POINT(7.36667 44.6833);Italy
Comune di Suello;POINT(9.31667 45.8167);Italy
Comune di Stroncone;POINT(12.6667 42.5);Italy
Peschiera del Garda;POINT(10.6833 45.4333);Italy
Pecco;POINT(7.78333 45.45);Italy
Lison;POINT(9.25 45.6167);Italy
Comune di Noepoli;POINT(16.3333 40.0833);Italy
Città di Orzinuovi;POINT(9.925 45.4033);Italy
Comune di Ponte Nossa;POINT(9.88333 45.8667);Italy
Comune di Cossignano;POINT(13.6833 42.9833);Italy
Comune di Grottole;POINT(16.3833 40.6);Italy
Comune di Tizzano Val Parma;POINT(10.2 44.5167);Italy
Comune di Carpineto Romano;POINT(13.0833 41.6);Italy
Rovigo;POINT(11.7906 45.0703);Italy
Comune di San Maurizio d'Opaglio;POINT(8.38333 45.7667);Italy
Greve in Chianti;POINT(11.3167 43.5833);Italy
Sermoneta;POINT(12.9833 41.55);Italy
